generation,evals,best_fitness,mean_fitness,params
1,10,4.314683e+02,4.437632e+04,"[0.31586378106424656, 0.2951837452374024, 0.011513224458801596, 0.1904786977374729, 0.43512239092524885, 0.32868594829729636, -0.05339401258787333, -0.38728147230857385]"
2,20,7.967977e+02,1.905246e+04,"[0.22854475439884536, 0.2042295581012506, 0.09131483845021916, 0.35251606423022463, 0.401137719638256, 0.5979595624818014, 0.35309403509842047, -0.4694993357498433]"
3,30,3.069871e+02,3.482621e+04,"[0.21226908886260581, 0.14106097006249474, -0.1349202281244333, 0.13462346462385935, 0.20404836664363002, 0.6281448144794429, 0.27703092812331526, -0.053720967466010794]"
4,40,6.029406e+02,6.395650e+04,"[0.2608008222174102, 0.2347761546626795, -0.0601071319280613, 0.175026260820522, 0.3468621361028385, 0.5838512120190053, 0.13535178018936367, -0.26626777637665777]"
5,50,3.356562e+02,2.096038e+04,"[0.3653767820910194, 0.15691165666928628, -0.08711872052758883, -0.00024204715639990996, 0.5607902339132067, 0.5734196178052584, 0.12078062148954788, -0.2007038906790333]"
6,60,3.558990e+02,2.224820e+04,"[0.3317704194224283, 0.2874360554775023, -0.12245490102989302, 0.10356900679237137, 0.4108054773558689, 0.6936525713824807, 0.1996526169092863, -0.24439049347124753]"
7,70,3.560389e+02,1.062803e+03,"[0.38150359229140857, 0.3455462807808245, -0.20870699363738124, 0.03626744907416072, 0.39844204506995756, 0.6973959348130767, 0.3181922845568039, -0.3421816713215566]"
8,80,2.840778e+02,3.120533e+03,"[0.32061610960556913, 0.26405135582114647, -0.07900704924606225, 0.06483227706534102, 0.4138850705948247, 0.6858275218712018, 0.513711082661829, -0.4421755314339239]"
9,90,2.996021e+02,1.761951e+03,"[0.37570893830567487, 0.37897897257742935, -0.12053528296813416, 0.03491663062918619, 0.49272754929349394, 0.89169699131123, 0.6081212522861249, -0.4014052011046835]"
10,100,2.937011e+02,2.033682e+03,"[0.5321109280928198, 0.2808156996715069, -0.11759826496734116, -0.06223809931756356, 0.6275762603915171, 0.8776849202048368, 0.5748829867910403, -0.32676066416731836]"
11,110,3.467794e+02,1.125620e+04,"[0.6102619035821087, 0.28532530558607216, -0.22578328541053547, -0.08666253037802524, 0.5365180775823319, 0.7702179763241918, 0.5555452071524241, -0.2365488846120226]"
12,120,2.274846e+02,1.218523e+04,"[0.5493453538587606, 0.3359483698129597, -0.14608138162671028, -0.11588595746991519, 0.38565387461285683, 0.7309165239622891, 0.6423678571074191, -0.26003548034843116]"
13,130,2.441140e+02,8.440613e+02,"[0.6194397033132213, 0.23807636084256767, -0.06523735849682759, -0.06827731290842334, 0.47713259508521266, 0.8292421005711806, 0.5639478464861546, -0.21443669952027683]"
14,140,2.142545e+02,4.179517e+02,"[0.5920930557750701, 0.3041361162912753, -0.1501639434742589, 0.04972767499269269, 0.39071503991840084, 0.7906843273651266, 0.49697969258889313, -0.23056622371121258]"
15,150,2.554576e+02,1.383987e+03,"[0.5692756630046141, 0.1959685701165745, -0.1706746610084214, 0.029164815591910517, 0.2796650465091527, 0.7156523435207132, 0.4186301640961735, -0.12106585765733274]"
16,160,2.385007e+02,3.721882e+02,"[0.526034113822887, 0.2653297619517893, -0.23117521107307856, 0.03683114309343257, 0.2984619389439678, 0.6712181784025331, 0.42677182112159834, -0.07269592073745242]"
17,170,2.285254e+02,1.118412e+03,"[0.6260245339700655, 0.21010938669376028, -0.3006346852359728, 0.005944274701065747, 0.39445969959622573, 0.7364466003372232, 0.44895313167356443, 0.07509841289057992]"
18,180,2.046842e+02,1.045288e+04,"[0.6412705072064641, 0.21843955387410452, -0.24353835333795704, 0.04301003862414834, 0.3838818697145089, 0.7557599267296861, 0.4751851007661422, -0.03289363904980425]"
19,190,1.974666e+02,2.932925e+02,"[0.718345651684891, 0.2266777131290009, -0.19603233717207963, 0.06848197611435274, 0.42064143837593504, 0.730416513327053, 0.5049826836734376, -0.08477562541682511]"
20,200,2.072262e+02,2.899629e+02,"[0.6527986361954531, 0.2808784997771113, -0.1536793334948778, 0.027105428319638115, 0.38926838004324066, 0.7638700155215039, 0.5060208625634302, -0.20055206408367654]"
21,210,2.076746e+02,2.772732e+02,"[0.5751064540464841, 0.31916606548048937, -0.18599033015092784, 0.03189143232340117, 0.3397926489434199, 0.7225858543618131, 0.43495787282917453, -0.29741344799814334]"
22,220,2.023138e+02,2.929876e+02,"[0.5646374827328132, 0.32475935371132697, -0.1751795919178607, 0.03163473409083555, 0.3010692065824298, 0.750175519538838, 0.41417674716253905, -0.40332319009726547]"
23,230,2.128019e+02,2.791849e+02,"[0.5211874327436561, 0.3267261470392351, -0.17949290871893084, -0.01166741494351177, 0.4052860944534165, 0.697984795856918, 0.36353572454568706, -0.45220769103903957]"
24,240,2.264093e+02,3.014391e+02,"[0.5439718987195491, 0.30358914770207196, -0.24035792941366232, -0.035568012061451694, 0.3408060045298967, 0.717022847625962, 0.4451957084574328, -0.4174675150835211]"
25,250,2.346773e+02,5.396361e+02,"[0.5940868617514428, 0.32133038245407053, -0.15675356225078463, -0.09158995595128255, 0.34507350633640177, 0.7884007906142898, 0.5054943302402328, -0.573911482253181]"
26,260,2.127331e+02,3.212822e+02,"[0.6204303791870368, 0.26372442848798866, -0.23380890896852236, -0.03568504561627144, 0.3402429741385798, 0.7774192563337383, 0.49822833822175333, -0.39541643047223224]"
27,270,1.945247e+02,2.365906e+02,"[0.6491579713572273, 0.2833127724365985, -0.2667725040052952, -0.018644686906276155, 0.3156999657483212, 0.7909225886383877, 0.4901490758607836, -0.35185303308525445]"
28,280,1.861627e+02,2.663325e+02,"[0.6326208471492216, 0.29196268958213667, -0.2718406532011588, -0.004099993063006698, 0.3318241527992822, 0.8621660424596761, 0.554200203076293, -0.3321295554066794]"
29,290,2.015692e+02,2.304589e+02,"[0.5901629016520642, 0.3195129754654765, -0.2231736413870427, 0.07537880008700619, 0.3043660547782557, 0.803609164044806, 0.44352470627820323, -0.24157939592974284]"
30,300,2.103732e+02,2.639147e+02,"[0.6028841236142106, 0.3350111893364776, -0.20215573270368814, 0.0518604890674524, 0.31378584669761744, 0.8028539555023585, 0.43531408751334055, -0.24680389649082168]"
31,310,1.890511e+02,2.614365e+02,"[0.5848871132003415, 0.3099421666989673, -0.2353478272360132, 0.06669398257492357, 0.29210246163063064, 0.7780622728504505, 0.45450145813786114, -0.214994398047917]"
32,320,1.950544e+02,2.349888e+02,"[0.6001787881808018, 0.28372201121290513, -0.19721195779324216, 0.03379959680195166, 0.27629915426751367, 0.7561181925872968, 0.45767439835907575, -0.20800469089818932]"
33,330,2.035455e+02,2.295696e+02,"[0.5887119704919124, 0.29156485153966183, -0.2635145555610996, 0.03710073470341525, 0.2800073520750765, 0.7511789910296515, 0.46752919846622965, -0.2147053717442688]"
34,340,1.928719e+02,2.162927e+02,"[0.6006297621905179, 0.2869659024394505, -0.24986406288902, 0.03374568473028917, 0.27615626429589796, 0.739228834741946, 0.4533791528078418, -0.2316516966687291]"
