generation,evals,best_fitness,mean_fitness,params
1,100,2.381098e+02,2.381098e+02,"[0.37367301440636197, 0.18557052557463957, -0.0792914668252033, 0.06331065057335294, 0.26538137215511515, 0.2686367100203415, 0.0991006278077006, -0.20556991574148054]"
2,200,1.931116e+02,2.336100e+02,"[0.5080171294231751, 0.041198188415015935, -0.3048182211692534, 0.04552585676557328, 0.08655470225826517, -0.12750998522676965, 0.560190323982994, -0.3189118755689621]"
3,300,1.931116e+02,2.294337e+02,"[0.49223350928554443, 0.07674149672290284, -0.2829274770475373, -0.05387935448771629, 0.1276252790567931, -0.037069443663486315, 0.5949393906184716, -0.49196311302892626]"
4,400,1.931116e+02,2.286717e+02,"[0.48495800540975886, 0.08607644773316547, -0.2753407982639199, -0.05340181023255625, 0.11871730411625561, -0.007220647424541541, 0.5902755457628184, -0.4887354026920945]"
5,500,1.931116e+02,2.276692e+02,"[0.4926533732112707, 0.09461210174845866, -0.26373905497304306, -0.033251637619809045, 0.1290633746504723, -0.002155123356808215, 0.6151084232501759, -0.5224467031309465]"
6,600,1.931116e+02,2.274194e+02,"[0.49817933594469493, 0.09212944290545583, -0.26560428275485376, -0.03132242230208005, 0.1299979457865909, -0.0021706779486149602, 0.6106126973840739, -0.5185033914224455]"
7,700,1.931116e+02,2.274194e+02,"[0.49817933594469493, 0.09212944290545583, -0.26560428275485376, -0.03132242230208005, 0.1299979457865909, -0.0021706779486149602, 0.6106126973840739, -0.5185033914224455]"
8,800,1.931116e+02,2.259469e+02,"[0.5179411700952683, 0.08561205425153044, -0.2702846001285663, -0.014039678917916774, 0.1486485229322039, -0.017849144500273514, 0.5850562261247788, -0.5005757711080653]"
9,900,1.931116e+02,2.259469e+02,"[0.5179411700952683, 0.08561205425153044, -0.2702846001285663, -0.014039678917916774, 0.1486485229322039, -0.017849144500273514, 0.5850562261247788, -0.5005757711080653]"
10,1000,1.931116e+02,2.246879e+02,"[0.5356128783754269, 0.0885152126088274, -0.28114093438951815, -0.01084623803220579, 0.1791617078716739, -0.009513920381424911, 0.5659452597403487, -0.5047229421548841]"
11,1100,1.931116e+02,2.222577e+02,"[0.5409599547115298, 0.07970954970956051, -0.2824890055969795, -0.01592360749769923, 0.18245195061327055, -0.0316273863700143, 0.5554760572956762, -0.47158426200729625]"
